category,type,subcategory,url
Christmas,Men's,Christmas Nightwear,https://www.marksandspencer.com/ae/l/christmas/christmas-nightwear/mens/
Christmas,Kids',Christmas Nightwear,https://www.marksandspencer.com/ae/l/christmas/christmas-nightwear/kids/
Christmas,Women's,Partywear,https://www.marksandspencer.com/ae/l/christmas/partywear/womens/
Christmas,Men's,Partywear,https://www.marksandspencer.com/ae/l/christmas/partywear/mens/
Christmas,Kid's,Partywear,https://www.marksandspencer.com/ae/l/christmas/partywear/kids/
Christmas,Cashmere,NA,https://www.marksandspencer.com/ae/l/christmas/cashmere/
Women,Coats & Jackets,All New,https://www.marksandspencer.com/ae/l/women/all-new/coats-and-jackets/
Women,Dresses,All New,https://www.marksandspencer.com/ae/l/women/all-new/dresses/
Women,Jumpers & Cardigans,All New,https://www.marksandspencer.com/ae/l/women/new-in-edit/jumpers-and-cardigans/
Women,Trousers & Chinos,All New,https://www.marksandspencer.com/ae/l/women/all-new/trousers-and-chinos/
Women,Skirts,All New,https://www.marksandspencer.com/ae/l/women/all-new/skirts/
Women,Jeans & Jeggings,All New,https://www.marksandspencer.com/ae/l/women/all-new/jeans-and-jeggings/
Women,Shorts,All New,https://www.marksandspencer.com/ae/l/women/all-new/shorts/
Women,Bags & Accessories,All New,https://www.marksandspencer.com/ae/l/women/all-new/bags-and-accessories/
Women,Footwear,All New,https://www.marksandspencer.com/ae/l/women/all-new/footwear/
Women,Tops & T-shirts,All New,https://www.marksandspencer.com/ae/l/women/all-new/tops-and-t-shirts/
Women,Joggers & Track Pants,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/joggers-and-track-pants/
Women,Leggings & Shorts,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/leggings-and-shorts/
Women,Sweatshirts,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/sweatshirts/
Women,Sets & Outfits,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/sets-and-outfits/
Women,Tops & T-Shirts,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/tops-and-t-shirts/
Women,Sports Jacket,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/sports-jacket/
Women,Sports Socks,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/sports-socks/
Women,Swimwear,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/swimwear/
Women,Sport Bras,Active & Sportswear,https://www.marksandspencer.com/ae/l/women/active-and-sportswear/sport-bras/
Women,Blazers,NA,https://www.marksandspencer.com/ae/l/women/blazers/
Women,Coats,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/coats/
Women,Jackets,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/jackets/
Women,Active Outdoor,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/active-outdoor/
Women,Bomber Jackets,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/bomber-jackets/
Women,Smart Coats,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/smart-coats/
Women,Mac & Trench,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/mac-and-trench/
Women,Blazers,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/blazers/
Women,Trench Coats & Macs,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/trench-coats-and-macs/
Women,Leather Jackets,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/leather-jackets/
Women,Padded & Quilted Coats,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/padded-and-quilted-coats/
Women,Raincoats,Coats & Jackets,https://www.marksandspencer.com/ae/l/women/coats-and-jackets/raincoats/
Women,Work Dresses,Dresses,https://www.marksandspencer.com/ae/l/women/dresses/work-dresses/
Women,Occasion Dresses,Dresses,https://www.marksandspencer.com/ae/l/women/dresses/party-cocktail-dresses/
Women,Bridesmaid Dresses,Dresses,https://www.marksandspencer.com/ae/l/women/dresses/bridesmaid-dresses/
Women,Jumpsuits & Playsuits,Dresses,https://www.marksandspencer.com/ae/l/women/dresses/jumpsuits-and-playsuits/
Women,Jeans,Jeans & Jeggings,https://www.marksandspencer.com/ae/l/women/jeans-and-jeggings/jeans/
Women,Jeggings,Jeans & Jeggings,https://www.marksandspencer.com/ae/l/women/jeans-and-jeggings/jeggings/
Women,Sculpt & Lift,Jeans & Jeggings,https://www.marksandspencer.com/ae/l/women/jeans-and-jeggings/tvarovac%C3%AD-oble%C4%8Den%C3%AD/
Women,Cropped Jeans,Jeans & Jeggings,https://www.marksandspencer.com/ae/l/women/jeans-and-jeggings/cropped-jeans/
Women,Coloured Jeans,Jeans & Jeggings,https://www.marksandspencer.com/ae/l/women/jeans-and-jeggings/coloured-jeans/
Women,Cashmere Sweaters,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/cashmere-sweaters/
Women,Cosy Sweaters,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/cosy-sweaters/
Women,Roll Necks,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/roll-necks/
Women,Wool Sweaters,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/wool-sweaters/
Women,Cardigans,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/cardigans/
Women,Jumpers,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/jumpers/
Women,Cashmere,Knitwear,https://www.marksandspencer.com/ae/l/women/knitwear/cashmere/
Women,Bras,Lingerie & Nightwear,https://www.marksandspencer.com/ae/l/women/lingerie-and-nightwear/bras/
Women,Knickers,Lingerie & Nightwear,https://www.marksandspencer.com/ae/l/women/lingerie-and-nightwear/knickers/
Women,Nightwear & Dressing Gowns,Lingerie & Nightwear,https://www.marksandspencer.com/ae/l/women/lingerie-and-nightwear/nightwear-and-dressing-gowns/
Women,Tights,Lingerie & Nightwear,https://www.marksandspencer.com/ae/l/women/lingerie-and-nightwear/tights/
Women,Thermals,Lingerie & Nightwear,https://www.marksandspencer.com/ae/l/women/lingerie-and-nightwear/thermals/
Women,Leggings,Leggings & Joggers,https://www.marksandspencer.com/ae/l/women/trousers-chinos-leggings/leggings/
Women,Joggers,Leggings & Joggers,https://www.marksandspencer.com/ae/l/women/leggings-and-joggers/joggers/
Women,Plain Shirts,Shirts & Blouses,https://www.marksandspencer.com/ae/l/women/shirts-and-blouses/plain-shirts/
Women,Printed Shirts,Shirts & Blouses,https://www.marksandspencer.com/ae/l/women/shirts-and-blouses/printed-shirts/
Women,Linen Shirts,Shirts & Blouses,https://www.marksandspencer.com/ae/l/women/shirts-and-blouses/linen-shirts/
Women,Work Shirts,Shirts & Blouses,https://www.marksandspencer.com/ae/l/women/shirts-and-blouses/work-shirts/
Women,Longline shirts,Shirts & Blouses,https://www.marksandspencer.com/ae/l/women/shirts-and-blouses/longline-shirts/
Women,Midi Skirts,Skirts,https://www.marksandspencer.com/ae/l/women/skirts/midi-skirts/
Women,Knee Length,Skirts,https://www.marksandspencer.com/ae/l/women/skirts/knee-length/
Women,Mini Skirts,Skirts,https://www.marksandspencer.com/ae/l/women/skirts/mini-skirts/
Women,Maxi Skirts,Skirts,https://www.marksandspencer.com/ae/l/women/skirts/maxi-skirts/
Women,Work Skirts,Skirts,https://www.marksandspencer.com/ae/l/women/skirts/work-skirts/
Women,Denim Skirts,Skirts,https://www.marksandspencer.com/ae/l/women/skirts/denim-skirts/
Women,Jackets & Blazers,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/suits-and-workwear/jackets-and-blazers/
Women,Trousers,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/workwear/pants/
Women,Work Dresses,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/suits-and-workwear/work-dresses/
