category,type,subcategory,url
https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,Jumpers & Cardigans,All Baby Boys,https://www.marksandspencer.com/ae/knitted-gloves/p/P60188131.html?dwvar_P60188131_color=F0
https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,Jumpers & Cardigans,All Baby Boys,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0
https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,Jumpers & Cardigans,All Baby Boys,https://www.marksandspencer.com/ae/quick-dry-long-sleeve-top-and-leggings-outfit/p/DS76d07f442c0c02a03ba9041932e7c38a.html
